Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("1946"),,,,,," An aqueous mixture of peroxylactic acid (PLA), hydrogen peroxide (HP), lactic acid, water, optional 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP), optionally sulfuric acid, and optionally phosphoric acid.",," Valley Chemical Solutions"," Valley Chemical Solutions"," As an antimicrobial agent in process water, ice, or brine used in the production, processing, and preparation of meat and poultry products."," Components of the FCS mixture will not exceed:<ol><li>1000 parts per million (ppm) PLA, 2384 ppm HP, and 5.5 ppm HEDP in process water or ice that contacts meat or poultry carcasses, parts, trim, and organs; or</li><li>495 ppm PLA, 1180 ppm HP, and 2.7 ppm HEDP in process water, ice, or brine that contacts processed and pre-formed meat and poultry.</li></ol>",05/28/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI) and EA Revision Sheet"
=T("1948"),,,,,," Acrylic resins derived from styrene (CAS Reg. No. 100-42-5), ethyl acrylate (CAS Reg. No. 140-88-5), 1,4-butanediol dimethacrylate (CAS Reg. No. 2082-81-7), acrylic acid (CAS Reg. No. 79-10-7), and 2-hydroxyethyl methacrylate (CAS Reg. No. 868-77-9).",," The Sherwin-Williams Company"," The Sherwin-Williams Company"," The coating is applied as a continuous film or enamel over on the body of the metal substrate, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may contact all food types under Conditions of Use A through H, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/25/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1950"),,,,,," An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No.79-21-0), hydrogen peroxide (HP) (CAS Reg. No.7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally sulfuric acid (CAS Reg. No. 7664-93-9). <strong>REPLACES FCN 1595</strong>",," PeroxyChem LLC"," Evonik Active Oxygens, LLC"," As an antimicrobial agent in process water or ice for washing, rinsing, chilling or processing fruits and vegetables in a food processing facility (see Limitations/Specifications)."," The components of the FCS mixture will not exceed 500 ppm PAA, 338 ppm HP and 34 ppm HEDP.",03/29/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1951"),,,,,," Polyphenylene sulfide (CAS Reg. No. 26125-40-6 or 25212-74-2). <strong>REPLACES FCN 1731</strong>",," DIC Corporation"," DIC EP Corporation<br>DIC Corporation</br>"," As a polymeric component of repeat-use food-contact articles, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The polymer will be used under conditions of use A through H and J and in contact with all types of food. The FCS is not intended for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",04/14/2019," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1952"),,,,,," 1,4-benzenedicarboxylic acid, 1,4-dibutyl ester (CAS Reg. No. 1962-75-0).",," Eastman Chemical Company"," Eastman Chemical Company"," As a plasticizer for PVC polymers intended for repeated use applications, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," For use at a level not to exceed 14 percent by weight of finished plasticized vinyl chloride polymer formulations. Articles containing the FCS are for repeat-use and may contact all food types, except alcoholic foods, at temperatures not to exceed 100&deg;C. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",04/19/2019," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1953"),,,,,," Trimethylolpropane (CAS Reg. No. 77-99-6).",," Tronox LLC"," Tronox LLC"," As a milling aid and dispersant for pigments used as components of food-contact articles, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS will be used at levels not to exceed 0.45 percent by weight of pigment. The pigmented article may contact all food types under Conditions of Use A through H, as described in Table 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/05/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1955"),,,,,," 2-propenoic acid, polymer with sodium phosphinate (1:1), neutralized with sodium, calcium, and/or magnesium (including CAS Reg. No. 129898-01-7 (Na salt), CAS Reg. No. 935545-65-6 (Mg Na salt)).",," Coatex SAS"," Coatex and Affiliates"," As an aid for dispersing and grinding mineral filler to be used in polyolefin food contact materials, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS will be used at levels not to exceed 0.25 percent by weight of the finished polyolefin, for use in contact with Food Types I, III (non-acidic), IVA, IVB, V, VIB, VIIA, VIIB, VIII, and IX under Conditions of Use E through G as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/13/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1956"),,,,,," 2-propenoic acid, polymer with sodium phosphinate (1:1), neutralized with sodium, calcium, and/or magnesium (including CAS Reg. No. 129898-01-7 (Na salt), CAS Reg. No. 935545-65-6 (Mg Na salt)).",," Coatex SAS"," Coatex and Affiliates"," As an aid for dispersing and grinding mineral fillers in the wet-end during the manufacture of food-contact paper and paperboard, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS will be used at levels not to exceed 0.5 percent by weight in the filler. For use in contact with food types I, II, III, IVA, IVB, V, VIB, VIIA, VIIB, VIII, and IX under Conditions of Use C through G as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/13/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1957"),,,,,," The FCS is a reaction product of three polymers:<ol><li>2-propenoic acid, 2-methyl-, methyl ester, polymer with 4,5-dihydro-2-(1-methylethenyl)oxazole and ethyl 2-propenoate (CAS Reg. No. 57460-65-8);</li><li> methyl methacrylate, ethyl acrylate, methacrylic acid, butanoic acid 3-oxo-2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl ester, 3-(trimethoxysilyl)propyl methacrylate with poly(oxy-1,2-ethanediyl), alpha-sulfo-omega-[4-nonyl-2-(1-propen-1-yl)phenoxy]-, branched, ammonium salts copolymer; and</li><li>1,3-benzenedicarboxylic acid, polymer with 2-[(2-aminoethyl)amino]ethanol, 1,3-bis(isocyanatomethyl)cyclohexane, decanedioic acid, 1,3-diisocyanatomethylbenzene, 2,2-dimethyl-1,3-propanediol, 1,2-ethanediol and 3-hydroxy-2-(hydroxymethyl)-2- methylpropanoic acid, compound with 1,1',1''-nitrilotris[2-propanol] (CAS Reg. No. 1239020-50-8).</li></ol> <strong>REPLACES FCN 1767</strong>",," TOYOBO Co., Ltd."," TOYOBO Co., Ltd."," As a coating on poly(ethylene terephthalate) (PET) and poly(butylene terephthalate) (PBT) food packaging films, except for use in contact with infant formula and human milk."," The minimum thickness of the coated film is 0.5 mil., or 11.5 &mu;m. The FCS coating on the films will not exceed 37 nm. The films may be used in contact with all types of food under Conditions of Use A through H as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",07/03/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1958"),,,,,," Fluorocarbon cured elastomer produced by copolymerizing tetrafluoroethylene (CAS Reg. No. 116-14-3) and propylene (CAS Reg. No. 115-07-1) and subsequent curing with triallylisocyanurate (CAS Reg. No. 1025-15-6) or triallylcyanurate (CAS Reg. No. 101-37-1) and 2,2-bis(<i>tert</i>-butylperoxy)diisopropylbenzene (CAS Reg. No. 25155-25-3).",," AGC Chemicals Americas, Inc."," AGC Chemicals Americas, Inc."," The FCS will be used in the fabrication of molded parts for food processing equipment such as seals, gaskets, o-rings and other parts, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The fluorocarbon base polymer shall contain no less than 63 weight-percent of polymer units derived from tetrafluoroethylene and no less than 26 weight-percent of polymer units derived from propylene. The elastomer shall be composed of no more than 5 weight-percent of triallylisocyanurate or triallylcyanurate and no uncured more than 5 weight-percent 2,2-bis(tert-butylperoxy)diisopropylbenzene. Finished articles  formed from the FCS must comply with the extractive limitations prescribed in 21 CFR 177.2600(e) and (f). Finished articles formed from the FCS will be used in contact with all food types under Conditions of Use A through H, as described in 21 CFR 176.170(c). The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",07/17/2019," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1959"),,,,,," Butanedioic acid, 2-methylene-, polymer with ethenyl acetate, hydrolyzed, sodium salts (CAS Reg. No. 122625-12-1).",," Kuraray Co., Ltd.<br>Kuraray America, Inc.<br>Kuraray Europe GmbH<br>Kuraray Asia Pacific Pte. Ltd.</br>"," Kuraray Co., Ltd.<br>Kuraray America, Inc.<br>Kuraray Europe GmbH<br>Kuraray Asia Pacific Pte. Ltd.</br>"," For use in coatings for food-contact paper and paperboard and food-contact polymer films, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The maximum application rate for the FCS is 5g/m<sup>2</sup>. The FCS is intended for use in contact with all types of food and under Conditions of Use C through H.  The FCS is not intended for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/19/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1960"),,,,,," An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722 -84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally sulfuric acid (CAS Reg. No. 7664-93-9) and/or dipicolinic acid (DPA) (CAS Reg. No. 499-83-2).",," Harcros Chemicals, Inc."," Harcros Chemicals, Inc."," As an antimicrobial agent in process water, ice, and brine used in the production and preparation of meat, poultry, processed and pre-formed meat and poultry products, fish, seafood, fruits, vegetables, seeds, nuts, and shell eggs; and in sauces and marinades used in the production and preparation of poultry and processed and pre-formed meat and poultry products (see Limitations/Specifications)."," The components of the FCS mixture will not exceed: <ol><li>2000 ppm PAA, 947 ppm HP, 116 ppm HEDP and 0.5 ppm DPA in process water and ice used to spray, wash, rinse, or dip meat carcasses, parts, trim, and organs and in chiller water or scald water for meat carcasses, parts, trim, and organs; and </li><li>2000 ppm PAA, 947 ppm HP, 116 ppm HEDP, and 0.5 ppm DPA in process water and ice used to spray, wash, rinse or dip poultry carcasses, parts, trim, and organs and in chiller water, immersion baths (e.g., less than 40&deg;F), or scald water for poultry carcasses, parts, trim, and organs; and </li><li>495 ppm PAA, 234 ppm HP, 29 ppm HEDP, and 0.1 ppm DPA in water, brine, and ice for washing, rinsing, or cooling of processed and pre-formed meat products; and </li><li>230 ppm PAA, 109 ppm HP, 13 ppm HEDP, and 0.1 ppm DPA in water, brine, and ice for washing, rinsing, or cooling of processed and pre-formed poultry products; and </li><li>230 ppm PAA, 109 ppm HP, and 13 ppm HEDP in process water and ice used to commercially prepare fish and seafood; and </li><li>350 ppm PAA, 166 ppm HP, 20 ppm HEDP, and 0.1 ppm DPA in process water and ice used for washing or chilling fruits and vegetables in a food processing facility; and</li><li>229 ppm PAA, 108 ppm HP, and 13 ppm HEDP in process water used as a spray on seeds for sprouting (alfalfa, clover, broccoli, flax, and chia) as a well as edible seeds (chia, flax, and hemp) and nuts (almond, cashew, and walnut). The FCS will be applied in the preparing, packing, or holding of the food for commercial purposes, consistent with the FD&C Act section 201(q)(1)(B)(i). The treated edible seeds can be consumed directly or further processed into flour, protein, or oil. The treated edible nuts are intended to be consumed as nuts. The treated seeds for sprouting are intended to be consumed as sprouts; and </li><li>2000 ppm PAA, 947 ppm HP, and 116 ppm HEDP in water for washing shell eggs; and</li><li>50 ppm PAA, 24 ppm HP, and 3 ppm HEDP in brines, sauces, and marinades applied either on the surface or injected into processed or unprocessed, cooked, or uncooked, whole or cut poultry parts and pieces and surface sauces and marinades applied on processed and pre-formed meat and poultry products.</li></ol>",05/20/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1961"),,,,,," Nylon MXD-6 (CAS Reg. No. 25718-70-1) (also known as hexanedioic acid, polymer with 1,3-benzenedimethanamine) meeting the analytical specifications in 21 CFR 177.1500(b) item 10.1 and used in conjunction with cobalt neodecanoate (CAS Reg. No. 27253-31-2) and/or cobalt propionate (CAS Reg. No. 1560-69-6).",," Indorama Ventures USA Inc. and its stewarded affiliates around the world"," Indorama Ventures USA Inc. and its stewarded affiliates around the world"," The FCS will be used as a modifier of polyethylene terephthalate copolyesters described in FCN 72 and FCN 498, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," Nylon MXD-6 may be used at a level not to exceed 5 weight percent of the finished food-contact article in conjunction with cobalt neodecanoate and/or cobalt propionate used at a level not to exceed 0.015 weight percent (measured as cobalt) in total cobalt content of the finished food-contact article. The finished food contact article may be used in contact with food types I, II, IV-B, VI-A, VI-B, VI-C (up to 15 percent alcohol), VII-B, and VIII, except for carbonated soft drinks, under Conditions of Use C through G. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/28/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1962"),,,,,," Amines, hydrogenated tallow alkyl, acetates (CAS Reg. No. 61790-59-8).",," Akzo Nobel Industrial Chemicals B.V."," Nobian Industrial Chemicals B.V."," For use as a processing aid in the separation of potassium chloride from sodium chloride, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may be present at a level not to exceed 10 ppm in sodium chloride. The sodium chloride containing the FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/28/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI) and EA Revision Sheet"
=T("1963"),,,,,," Fatty acids, C<sub>14</sub>-C<sub>20</sub>, esters with pentaerythritol (CAS Reg. No. 68440-28-8).",," Peter Greven GmbH & Co. KG"," Peter Greven GmbH & Co. KG"," As a processing agent in the production of poly(ethylene terephthalate) (PET) and poly(butylene terephthalate) (PBT) polymers, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may be used at a level up to 2% by weight of the finished PET and PBT polymers in contact with food under Conditions of Use B through H, as described in Table 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/28/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1965"),,,,,," Aluminum silicon silver oxide with sodium zeolite Y (CAS Re. No. 308081-05-2).",," The Nikka Whisky Distilling Co., Ltd."," The Nikka Whisky Distilling Co., Ltd."," For repeated use in filtering of distilled alcoholic beverages."," The FCS may only be used in filtration systems used during the whiskey manufacturing process at a maximum temperature of 40&deg;C.",05/28/2019," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1966"),,,,,," 1,4-Benzenedicarboxylic acid, polymer with 2-methyl-1,8-octanediamine and 1,9-nonanediamine, reaction products with benzoic acid (CAS Reg. No. 1310362-57-2).",," Kuraray Company, Ltd."," Kuraray Company, Ltd."," As a base polymer in the production of food contact articles, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The finished food-contact article may contact all food types and may be used under Conditions of Use A through H, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/28/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1967"),,,,,," 2,2-bis((pentanoyloxy)methyl)propane-1,3-diyl dipentanoate (CAS Reg. No. 15834-04-5).",," Perstorp AB"," Perstorp AB"," As a plasticizer in polyvinyl chloride (PVC) polymers for use in:<br>(1) repeated-use articles;</br><br>(2) as a coating or component of paper or paperboard;</br><br>(3) adhesives complying with 21 CFR 175.105; and</br><br>(4) pressure-sensitive adhesives complying with 21 CFR 175.125.</br><br>The FCS is not intended for use in contact with infant formula and human milk (see Limitations/Specifications).</br>"," The FCS will be used at levels up to 31% in the PVC polymers. The FCS may be used in repeat-use food contact articles in contact with all food types under Conditions of Use A through H as described in Tables 1 and 2. The FCS may be used as a component or coating of paper and paperboard in contact with Food Type VIII only and under Conditions of Use A through H. The FCS may be used in adhesives complying with 21 CFR 175.105 and pressure sensitive adhesives complying with 21 CFR 175.125 in contact with all food types. The finished food contact articles containing the FCS are not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/28/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI) and EA Revision Sheet"
=T("1970"),,,,,," 2-Bromo-2-nitro-1,3-propanediol (CAS Reg. No. 52-51-7).",," The Dow Chemical Company"," LANXESS Corporation "," As a preservative in wet-end paper additives, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may be used at a maximum level of 500 ppm in wet-end paper additives. The total use level of the FCS in finished paper may not exceed 54 g of the FCS per metric ton of dry weight fiber. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",08/01/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI) and EA Revision Sheet"
=T("1974"),,,,,," 2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate, ethenylbenzene, 2-ethylhexyl 2-propenoate, 2-methylpropyl 2-methyl-2-propenoate and 2-propenoic acid (CAS Reg. No. 103235-87-6).",," BASF Corporation"," BASF Corporation"," As a component of waterborne coating systems for single-use paper and paperboard substrates imparting liquid barrier and heat sealability, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," For use at levels not to exceed 15 g/m<sup>2</sup> (or 9.68 mg/in<sup>2</sup>) on a dry weight basis. The coated paper and paperboard may contact aqueous and acidic food types under Conditions of Use B through H, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",08/09/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1975"),,,,,," Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2,3-propanetriol (3:1), polymer with 1,3-diisocyanato-2-methylbenzene and 2,4-diisocyanato-1-methylbenzene (CAS Reg. No. 68227-13-4).",," Amorim & Irmãos, S.A."," Amorim & Irmãos, S.A."," The FCS will be used as a binder or adhesive in the manufacture of agglomerated cork stoppers."," The FCS shall be used at levels not to exceed 18% by weight of finished agglomerated stoppers. The finished stoppers are for use in contact with wine, sparkling wine, and beer under Conditions of Use E through G, as described in Table 2.",05/31/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1976"),,,,,," Copolymers of acrylamide, 2-(dimethylamino)ethyl methacrylate, itaconic acid, benzyl[2-(methacryloyloxy)ethyl](dimethyl)ammonium chloride, and benzyldimethyl[2-[(1-oxoallyl)oxy]ethyl]ammonium chloride, optionally crosslinked with hexahydro-1,3,5-tris(1-oxoallyl)-1,3,5-triazine.",," Arakawa Chemical Industries, Ltd."," Arakawa Chemical Industries, Ltd."," For use as a dry strength agent added prior to the sheet forming process in the manufacture of paper and paperboard, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may be used at levels not to exceed 0.5% by dry weight of the finished paper and paperboard in contact with all food types under Conditions of Use A through H and J, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",05/31/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1977"),,,,,," 2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, 2-ethylhexyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-methylpropyl 2-methyl-2-propenoate (CAS Reg. No. 1515850-94-8).",," BASF Corporation"," BASF Corporation"," As a component of waterborne coating systems for single-use paper and paperboard substrates imparting liquid barrier and heat sealability, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," For use at levels not to exceed 15 g/m<sup>2</sup> (or 9.68 mg/in<sup>2</sup>) on a dry weight basis. The coated paper and paperboard may contact aqueous and acidic food types under Conditions of Use B through H, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",08/09/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1979"),,,,,," N,N-bis(2-hydroxyethyl)alkyl(C<sub>13</sub>-C<sub>15</sub>)amine (CAS Reg. No. 70955-14-5).",," Braskem S.A.<br />Braskem Affiliates<br />Braskem Netherlands B.V.<br />Tetra Pak Inc.<br />Tetra Pak Canada Inc."," Braskem S.A.<br />Braskem Affiliates<br />Braskem Netherlands B.V.<br />Tetra Pak Inc.<br />Tetra Pak Canada Inc."," As an antistatic agent in molded and extruded high density polyethylene used in caps and closures for containers of infant formula and human milk."," For use at levels not to exceed 850 ppm in high density polyethylene having a density greater than or equal to 0.95 g/cm<sup>3</sup> under Conditions of Use E through G as described in Table 2. Caps and closures containing the FCS are separated from the food by an aseptic or other type of seal prior to initial opening of the container.",06/04/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1980"),,,,,," N,N-bis(2-hydroxyethyl)alkyl(C<sub>13</sub>-C<sub>15</sub>)amine (CAS Reg. No. 70955-14-5).",," Braskem S.A.<br />Braskem Affiliates<br />Braskem Netherlands B.V.<br />Tetra Pak Inc.<br />Tetra Pak Canada Inc."," Braskem S.A.<br />Braskem Affiliates<br />Braskem Netherlands B.V.<br />Tetra Pak Inc.<br />Tetra Pak Canada Inc."," As an antistatic agent in high density polyethylene, except for use in contact with infant formula and human milk (see Limitations and Specifications)."," For use at levels not to exceed 850 ppm in high density polyethylene having a density greater than or equal to 0.95 g/cm<sup>3</sup> in contact with all food types under Conditions of Use E through G as described in Table 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",06/04/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1981"),,,,,," Silver-magnesium-zinc-aluminum-calcium-sodium-borate-phosphate glass.",," Ishizuka Glass Co., Ltd."," Ishizuka Glass Co., Ltd."," As an antimicrobial agent in all types of food contact polymers, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," For use only at levels not to exceed 3 percent by weight of the finished article in which the silver content of the finished article shall not exceed 0.045 percent by weight, under Conditions of Use A through H as described in Table 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",06/05/2019," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("1985"),,,,,," 2-(dimethylamino)ethanol (CAS Reg. No. 108-01-0).",," The Dow Chemical Company"," The Dow Chemical Company"," As a pH control agent in polyolefin dispersions for use as coatings on paper and paperboard, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS may be used at a level not to exceed 1.9 g/m<sup>2</sup> in polyolefin dispersions for use as coatings on paper and paperboard in contact with all types of food under Conditions of Use C through G, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",06/15/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1986"),,,,,,," REPLACED BY FCN 2266",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1988"),,,,,," Phosphorous acid, cyclic neopentanetetrayl bis(2,4-di-tert-butylphenyl) ester (CAS Reg. No. 26741-53-7).",," Addivant"," Addivant"," For use as an antioxidant in polypropylene homopolymers and copolymers that contact food, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," For use at levels of up to 0.075 percent by weight of polypropylene homopolymers and copolymers that contacts food under Condition of Use A. The FCS may be used in conjunction with triisopropanolamine (CAS Reg. No. 122-20-3) at a maximum use level of 1 percent by weight of the FCS. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",06/25/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1989"),,,,,," Cellulose acetate (CAS Reg. No. 9004-35-7), and optionally modified with propionate to form cellulose acetate propanoate (CAS Reg. No. 9004-39-1) resulting in up to 49 weight-percent propionate esters.",," Eastman Chemical Company"," Eastman Chemical Company"," As a component of repeat-use food contact articles."," The FCS may be used in food contact articles in contact with all food types at temperatures up to and including 100&deg;C. The FCS is not intended for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",07/11/2019," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1991"),,,,,," Polyester-polyurethane adhesive formulated from the following: 1,3-benzenecarboxylic acid (CAS Reg. No. 121-91-5); 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (CAS Reg. No. 77-99-6); hexanedioic acid (CAS Reg. No. 124-04-9); 1,2-propanediol (CAS Reg. No. 57-55-6); diphenylmethane 4,4'-diisocyanate (CAS Reg. No. 101-68-8); bis(isocyanatophenyl) methane (CAS Reg. No. 26447-40-5); castor oil (CAS Reg. No. 8001-79-4); 1-propanamine, 3-(trimethoxysilyl)-N-[3-(trimethoxysilyl)propyl]- (CAS Reg. No. 82985-35-1); poly[oxy(methyl-1,2-ethanediyl)], &alpha;-hydro-&omega;-hydroxy- (CAS Reg. No. 25322-69-4); ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis- (CAS Reg. No.112-27-6); poly[oxy(methyl-1,2-ethanediyl)], &alpha;,&alpha;',&alpha;''-1,2,3-propanetriyltris[&omega;-hydroxy- (CAS Reg. No. 25791-96-2).",," COIM USA Inc."," COIM USA, Inc.<br>COIM S.p.A., Italy<br>Coim Brasil Ltda.<br>Coim Asia Pacific Pte Ltd.<br>Coim India Pvt., Ltd.</br>"," For use as an adhesive in laminate structures that are intended for use in contact with all types of food, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The adhesive may be applied as a non-food-contact layer at a maximum rate of 2.0 grams per square meter (2.0 g/m<sup>2</sup>) of the laminate surface area. The food-contact layer separating the FCS from food will be a minimum of 1-mil thick and will be comprised of low-density polyethylene or another polymer with equal or greater barrier properties. Laminate structures using the FCS may be used in contact with all food types under Conditions of Use B through H. The finished food-contact articles containing the FCS are not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",08/21/2019," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1993"),,,,,," 1,3-Benzenedicarboxylic acid, 5-sulfo-, 1,3-dimethyl ester, sodium salt (1:1), polymer with dimethyl 1,4-benzenedicarboxylate and 1,2-ethanediol (CAS Reg. No. 27937-63-9).",," Matsumura Sangyo Co., Ltd."," Matsumura Sangyo Co., Ltd.<br />Goo Chemical Co., Ltd."," As a surface treatment agent for talc added to inhibit hydrolysis of food-contact polymers, except for use in contact with infant formula and human milk (see Limitations/Specifications)."," The FCS is used at a level not to exceed 1% by weight of talc. The FCS-containing talc is used at a level not to exceed 5% by weight of polyethylene terephthalate (PET), polybutylene terephthalate (PBT), and polylactic acid (PLA) polymer. The finished polymer may contact all food types under Condition of Use A through H, as described in Tables 1 and 2. The FCS is not for use in contact with infant formula and human milk. Such uses were not included as part of the intended use of the substance in the FCN.",10/29/2019," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
