FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2-ethylhexyl nonyl phthalate"	"288-646-1"	"85851-86-1"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	"-"	"-"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(3,5,5-trimethylhexyl) phthalate"	"237-954-4"	"14103-61-8"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"2,5-dimethylheptyl 6-methyloctyl phthalate"	"288-636-7"	"85851-77-0"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-ethyloctyl) phthalate"	"288-640-9"	"85851-81-6"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"3-ethylheptyl 6-methyloctyl phthalate"	"288-639-3"	"85851-80-5"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"3-ethylheptyl 4-methyloctyl phthalate"	"288-638-8"	"85851-79-2"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"2,5-dimethylheptyl 4-methyloctyl phthalate"	"288-635-1"	"85851-76-9"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-propyloctyl) phthalate"	"288-645-6"	"85851-85-0"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(8-methylnonyl) phthalate"	"201-884-2"	"89-16-7"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"4-methyloctyl 6-methyloctyl phthalate"	"288-637-2"	"85851-78-1"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(4-methyloctyl) phthalate"	"286-804-4"	"85391-50-0"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(6-methyloctyl) phthalate"	"286-803-9"	"85391-49-7"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Isononyl isoundecyl phthalate"	"285-920-2"	"85168-79-2"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-propylheptyl) phthalate"	"258-469-4"	"53306-54-0"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Isodecyl isoundecyl phthalate"	"305-701-8"	"94979-22-3"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(3-ethylheptyl) phthalate"	"286-806-5"	"85391-51-1"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-methyldecyl) phthalate"	"288-643-5"	"85851-83-8"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Di-''isodecyl'' phthalate"	"247-977-1"	"26761-40-0"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-methyloctyl) phthalate"	"274-944-9"	"70857-56-6"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-ethylnonyl) phthalate"	"288-641-4"	"85851-82-7"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"Bis(2-propylhexyl) phthalate"	"288-644-0"	"85851-84-9"	"phthalic acid, diesters with primary, saturated C9-C11 alcohols more than 90 % C10"	""	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
